,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000267072.2,1,4,3
ENSG00000267073.1,0,0,0
ENSG00000267074.1,9,3,8
ENSG00000267075.1,0,0,0
ENSG00000267076.1,0,1,1
ENSG00000267077.1,1,5,5
ENSG00000267078.1,0,6,1
ENSG00000267079.1,0,0,0
ENSG00000267080.6,268,650,494
ENSG00000267081.1,0,0,0
ENSG00000267082.1,12,32,12
ENSG00000267083.1,1,2,0
ENSG00000267084.1,0,0,0
ENSG00000267085.1,0,0,0
ENSG00000267088.1,1,2,2
ENSG00000267089.1,2,6,9
ENSG00000267090.1,0,0,0
ENSG00000267091.1,6,1,2
ENSG00000267092.2,4,12,4
ENSG00000267095.1,0,0,0
ENSG00000267096.1,4,4,3
ENSG00000267097.1,1,0,1
ENSG00000267098.2,0,0,0
ENSG00000267099.1,0,0,0
ENSG00000267100.1,750,1388,1067
ENSG00000267101.7,0,0,0
ENSG00000267102.1,46,17,106
ENSG00000267104.2,0,0,0
ENSG00000267105.1,0,0,0
ENSG00000267106.8,554,606,625
ENSG00000267107.8,132,447,239
ENSG00000267108.1,2,3,0
ENSG00000267109.1,0,0,0
ENSG00000267110.1,0,0,0
ENSG00000267112.1,0,0,2
ENSG00000267113.1,2,0,0
ENSG00000267114.1,5,5,3
ENSG00000267115.1,0,3,1
ENSG00000267116.1,0,0,0
ENSG00000267117.1,0,2,1
ENSG00000267119.1,52,7,10
ENSG00000267120.3,0,0,0
ENSG00000267121.6,48,55,27
ENSG00000267122.1,0,0,0
ENSG00000267123.7,6,1,3
ENSG00000267124.2,0,0,0
ENSG00000267125.2,0,0,0
ENSG00000267127.7,7,70,71
ENSG00000267128.2,0,12,64
ENSG00000267129.1,0,0,1
ENSG00000267130.1,0,13,0
ENSG00000267131.1,1,1,1
ENSG00000267132.1,0,0,0
ENSG00000267133.2,0,0,0
ENSG00000267134.3,0,34,28
ENSG00000267135.2,0,0,0
ENSG00000267136.1,14,14,0
ENSG00000267137.1,0,0,0
ENSG00000267138.1,2,0,4
ENSG00000267139.1,0,0,0
ENSG00000267140.1,0,0,0
ENSG00000267141.1,2,1,0
ENSG00000267142.1,1,5,9
ENSG00000267143.1,0,3,1
ENSG00000267144.2,0,3,3
ENSG00000267145.1,0,0,0
ENSG00000267146.1,0,0,0
ENSG00000267147.2,32,2,110
ENSG00000267148.1,0,0,0
ENSG00000267149.2,4,3,2
ENSG00000267150.1,8,1,2
ENSG00000267151.5,5,0,0
ENSG00000267152.1,9,14,25
ENSG00000267153.1,0,0,0
ENSG00000267154.1,0,0,0
ENSG00000267156.1,3,3,5
ENSG00000267157.1,0,0,0
ENSG00000267159.2,0,2,0
ENSG00000267160.1,0,7,1
ENSG00000267162.1,0,0,0
ENSG00000267165.1,0,0,0
ENSG00000267166.5,0,0,2
ENSG00000267168.1,0,0,0
ENSG00000267169.2,38,84,36
ENSG00000267170.1,0,0,0
ENSG00000267172.1,1,0,0
ENSG00000267173.1,0,0,0
ENSG00000267174.5,39,203,66
ENSG00000267175.5,0,1,0
ENSG00000267177.1,0,1,0
ENSG00000267178.3,1,0,0
ENSG00000267179.1,2,4,0
ENSG00000267180.1,2,0,0
ENSG00000267182.1,0,0,0
ENSG00000267184.1,0,0,0
ENSG00000267185.1,10,43,48
ENSG00000267187.1,0,0,0
ENSG00000267188.1,0,0,0
ENSG00000267189.1,0,0,1
ENSG00000267190.1,0,1,0
ENSG00000267191.2,5,5,9
ENSG00000267192.1,6,0,19
ENSG00000267193.7,2,2,7
ENSG00000267195.1,0,0,0
ENSG00000267196.1,1,0,0
ENSG00000267197.1,10,9,9
ENSG00000267198.1,0,3,3
ENSG00000267199.1,13,17,3
ENSG00000267200.1,0,0,0
ENSG00000267201.1,3,2,3
ENSG00000267202.5,0,0,0
ENSG00000267203.1,3,0,1
ENSG00000267204.1,0,0,0
ENSG00000267205.1,0,1,0
ENSG00000267206.6,2,0,0
ENSG00000267207.1,0,0,0
ENSG00000267209.5,0,4,0
ENSG00000267211.1,0,0,0
ENSG00000267212.1,2,2,2
ENSG00000267213.4,16,81,47
ENSG00000267214.1,0,0,0
ENSG00000267215.2,0,0,0
ENSG00000267216.1,12,7,5
ENSG00000267218.2,2,1,0
ENSG00000267219.1,25,6,27
ENSG00000267220.1,3,0,1
ENSG00000267221.3,40,208,46
ENSG00000267222.1,0,7,2
ENSG00000267223.1,0,0,0
ENSG00000267224.1,0,3,3
ENSG00000267225.1,1,1,0
ENSG00000267226.2,8,10,16
ENSG00000267227.1,0,0,0
ENSG00000267228.7,0,0,0
ENSG00000267231.1,0,0,1
ENSG00000267232.1,0,0,0
ENSG00000267233.1,0,0,0
ENSG00000267234.1,0,0,0
ENSG00000267235.3,0,0,0
ENSG00000267238.1,0,0,0
ENSG00000267239.1,0,3,0
ENSG00000267240.1,0,0,0
ENSG00000267241.2,0,0,0
ENSG00000267243.6,0,0,0
ENSG00000267244.5,67,48,41
ENSG00000267245.1,0,0,0
ENSG00000267246.1,1,0,1
ENSG00000267247.1,0,0,0
ENSG00000267248.3,17,16,38
ENSG00000267249.1,31,141,58
ENSG00000267250.1,0,2,1
ENSG00000267251.2,3,137,54
ENSG00000267252.6,0,0,0
ENSG00000267253.1,1,0,2
ENSG00000267254.7,211,199,257
ENSG00000267255.1,0,0,0
ENSG00000267257.1,0,0,0
ENSG00000267258.1,1,2,25
ENSG00000267259.1,86,13,97
ENSG00000267260.2,9,4,1
ENSG00000267261.5,0,0,0
ENSG00000267262.1,1,1,1
ENSG00000267263.1,0,0,0
ENSG00000267264.1,2,1,12
ENSG00000267265.5,34,6,16
ENSG00000267269.1,0,0,0
ENSG00000267270.6,22,356,121
ENSG00000267271.1,0,0,0
ENSG00000267272.5,18,23,31
ENSG00000267273.1,0,0,0
ENSG00000267274.1,20,11,7
ENSG00000267275.1,2,0,0
ENSG00000267277.1,15,13,3
ENSG00000267278.6,99,601,235
ENSG00000267279.2,38,26,22
ENSG00000267280.5,48,18,13
ENSG00000267281.2,14,9,4
ENSG00000267282.1,1,9,6
ENSG00000267283.1,1,0,0
ENSG00000267284.2,0,1,0
ENSG00000267285.1,0,0,0
ENSG00000267286.1,0,0,0
ENSG00000267287.1,17,15,36
ENSG00000267288.2,14,52,16
ENSG00000267289.1,1,2,0
ENSG00000267291.1,0,0,0
ENSG00000267292.1,0,0,0
ENSG00000267293.1,5,1,0
ENSG00000267295.1,1,0,0
ENSG00000267296.2,141,317,102
ENSG00000267298.1,0,1,0
ENSG00000267299.1,1,1,2
ENSG00000267301.1,0,0,0
ENSG00000267302.5,1,0,2
ENSG00000267303.1,0,0,0
ENSG00000267304.1,2,0,0
ENSG00000267305.2,1,4,2
ENSG00000267308.3,1,0,0
ENSG00000267309.1,58,18,37
ENSG00000267310.2,0,0,0
ENSG00000267311.1,2,0,0
ENSG00000267312.1,2,0,2
ENSG00000267313.7,0,0,2
ENSG00000267314.1,0,0,0
ENSG00000267315.1,0,1,0
ENSG00000267316.5,4,5,0
ENSG00000267317.2,254,288,219
ENSG00000267318.1,0,0,0
ENSG00000267319.1,8,42,15
ENSG00000267320.5,0,0,0
ENSG00000267321.3,213,405,245
ENSG00000267322.2,6,13,3
ENSG00000267323.1,0,0,3
ENSG00000267324.1,0,1,0
ENSG00000267325.2,6,18,12
ENSG00000267327.2,0,0,5
ENSG00000267328.1,0,0,0
ENSG00000267332.1,0,9,0
ENSG00000267333.1,0,0,0
ENSG00000267334.1,0,0,0
ENSG00000267335.2,0,0,0
ENSG00000267336.1,0,2,4
ENSG00000267337.2,0,0,0
ENSG00000267338.1,0,0,0
ENSG00000267339.7,1,1,0
ENSG00000267340.1,4,0,0
ENSG00000267341.1,2,1,0
ENSG00000267342.1,14,8,10
ENSG00000267343.2,0,0,0
ENSG00000267344.1,10,11,5
ENSG00000267345.1,3,2,4
ENSG00000267346.1,1,6,0
ENSG00000267348.3,19,29,49
ENSG00000267349.1,0,0,0
ENSG00000267352.1,0,0,0
ENSG00000267353.1,0,0,1
ENSG00000267354.1,1,0,0
ENSG00000267355.2,0,0,0
ENSG00000267356.1,0,0,0
ENSG00000267359.1,0,0,0
ENSG00000267360.6,0,0,0
ENSG00000267361.1,0,2,0
ENSG00000267363.1,0,1,0
ENSG00000267364.2,23,32,61
ENSG00000267365.1,7,6,2
ENSG00000267366.1,21,19,4
ENSG00000267368.1,0,0,0
ENSG00000267369.1,23,17,60
ENSG00000267370.1,20,23,11
ENSG00000267371.1,0,0,0
ENSG00000267372.2,7,31,27
ENSG00000267373.1,0,0,0
ENSG00000267374.2,19,14,5
ENSG00000267375.1,1,1,0
ENSG00000267376.1,0,0,0
ENSG00000267378.1,0,0,0
ENSG00000267379.1,0,0,0
ENSG00000267382.1,0,0,0
ENSG00000267383.7,712,8,29
ENSG00000267384.3,0,0,0
ENSG00000267385.1,7,10,2
ENSG00000267387.1,1,2,3
ENSG00000267388.1,3,2,4
ENSG00000267389.2,0,0,0
ENSG00000267390.1,34,50,61
ENSG00000267391.5,0,0,0
ENSG00000267392.3,0,0,0
ENSG00000267393.1,0,0,0
ENSG00000267394.1,15,6,5
ENSG00000267395.5,9,41,124
ENSG00000267396.1,0,0,0
ENSG00000267397.1,22,53,60
ENSG00000267398.1,0,0,0
ENSG00000267399.1,0,0,0
ENSG00000267400.1,0,1,0
ENSG00000267401.2,0,0,0
ENSG00000267402.1,0,0,0
ENSG00000267404.1,1,0,1
ENSG00000267405.1,1,1,8
ENSG00000267406.1,0,0,0
ENSG00000267407.2,0,0,0
ENSG00000267408.1,0,0,3
ENSG00000267409.1,11,11,2
ENSG00000267412.1,7,0,3
ENSG00000267413.1,0,0,0
ENSG00000267414.1,28,81,40
ENSG00000267415.1,0,0,0
ENSG00000267416.1,4,6,1
ENSG00000267417.1,1,0,0
ENSG00000267418.1,0,0,0
ENSG00000267419.2,55,26,38
ENSG00000267420.1,0,0,0
ENSG00000267421.6,13,2,14
ENSG00000267422.1,5,4,19
ENSG00000267423.1,0,0,0
ENSG00000267424.1,2,0,1
ENSG00000267425.1,0,0,0
ENSG00000267426.5,2,3,3
ENSG00000267428.2,0,0,0
ENSG00000267429.1,0,0,0
ENSG00000267430.1,1,0,2
ENSG00000267432.6,1,1,4
ENSG00000267433.1,0,0,0
ENSG00000267436.1,0,0,0
ENSG00000267437.1,0,0,0
ENSG00000267439.1,0,3,1
ENSG00000267440.2,0,0,1
ENSG00000267441.1,0,0,0
ENSG00000267443.2,0,0,0
ENSG00000267444.1,0,0,0
ENSG00000267446.1,0,0,6
ENSG00000267448.6,1,0,1
ENSG00000267449.1,0,0,0
ENSG00000267450.1,0,0,0
ENSG00000267452.3,8,16,1
ENSG00000267453.7,3,2,7
ENSG00000267454.6,74,23,27
ENSG00000267455.1,0,0,0
ENSG00000267456.2,0,2,2
ENSG00000267457.1,1,5,1
ENSG00000267458.1,0,0,0
ENSG00000267461.1,0,3,1
ENSG00000267462.1,0,1,0
ENSG00000267463.1,0,0,0
ENSG00000267465.7,0,0,0
ENSG00000267466.1,17,2,5
ENSG00000267467.4,0,0,0
ENSG00000267469.1,0,0,0
ENSG00000267470.6,37,81,64
ENSG00000267471.1,0,0,0
ENSG00000267472.1,8,3,0
ENSG00000267474.1,0,2,4
ENSG00000267475.1,209,33,98
ENSG00000267476.1,0,4,0
ENSG00000267477.1,0,0,0
ENSG00000267478.1,0,1,1
ENSG00000267480.1,32,76,14
ENSG00000267481.1,156,21,72
ENSG00000267482.1,0,0,0
ENSG00000267484.1,0,0,0
ENSG00000267486.1,0,0,0
ENSG00000267487.1,0,0,0
ENSG00000267489.5,0,0,0
ENSG00000267490.1,0,0,0
ENSG00000267491.1,0,1,1
ENSG00000267492.1,0,0,0
ENSG00000267493.4,139,218,132
ENSG00000267496.4,0,1,1
ENSG00000267497.1,0,0,0
ENSG00000267498.2,14,10,13
ENSG00000267500.1,10,9,15
ENSG00000267501.1,0,0,3
ENSG00000267503.1,2,8,4
ENSG00000267504.1,0,1,0
ENSG00000267505.1,11,1,2
ENSG00000267506.5,28,2,9
ENSG00000267507.1,0,5,0
ENSG00000267508.6,140,199,528
ENSG00000267509.5,0,0,2
ENSG00000267510.1,0,0,0
ENSG00000267511.1,0,0,0
ENSG00000267512.1,0,0,0
ENSG00000267513.3,0,0,0
ENSG00000267515.1,2,0,0
ENSG00000267517.1,0,0,0
ENSG00000267518.1,0,0,0
ENSG00000267519.6,423,1088,303
ENSG00000267520.2,0,0,0
ENSG00000267521.1,0,0,0
ENSG00000267522.1,0,0,1
ENSG00000267523.1,32,44,25
ENSG00000267524.1,0,0,0
ENSG00000267526.1,0,0,0
ENSG00000267529.3,0,2,1
ENSG00000267530.3,22,230,32
ENSG00000267532.5,12,7,11
ENSG00000267533.1,7,9,9
ENSG00000267534.4,744,1014,924
ENSG00000267535.2,18,2,0
ENSG00000267537.1,0,0,0
ENSG00000267541.1,11,48,7
ENSG00000267543.1,8,4,2
ENSG00000267544.1,6,7,14
ENSG00000267546.2,5,18,5
ENSG00000267547.1,61,29,286
ENSG00000267549.6,1,5,1
ENSG00000267550.1,0,0,0
ENSG00000267551.3,11,2,4
ENSG00000267552.6,0,0,0
ENSG00000267554.1,5,0,9
ENSG00000267555.1,1,0,4
ENSG00000267557.1,0,0,0
ENSG00000267558.2,0,1,0
ENSG00000267559.5,0,2,1
ENSG00000267560.1,10,2,2
ENSG00000267561.2,0,0,0
ENSG00000267563.1,0,0,0
ENSG00000267564.1,0,0,0
ENSG00000267565.1,58,24,101
ENSG00000267567.1,2,4,2
ENSG00000267568.6,0,0,13
ENSG00000267570.1,0,0,0
ENSG00000267571.1,44,71,52
ENSG00000267573.1,3,17,24
ENSG00000267574.1,0,0,0
ENSG00000267575.7,154,123,217
ENSG00000267576.1,0,0,0
ENSG00000267577.1,1,5,6
ENSG00000267579.1,0,0,0
ENSG00000267580.1,0,0,0
ENSG00000267581.1,0,0,0
ENSG00000267582.1,1,5,0
ENSG00000267583.5,7,9,8
ENSG00000267585.1,0,0,0
ENSG00000267586.7,1,1,2
ENSG00000267587.1,0,0,0
ENSG00000267589.1,0,2,1
ENSG00000267590.1,0,1,0
ENSG00000267591.1,0,0,0
ENSG00000267592.1,0,0,0
ENSG00000267593.2,13,0,0
ENSG00000267594.5,0,0,0
ENSG00000267595.1,0,2,2
ENSG00000267597.1,0,0,0
ENSG00000267598.1,0,0,0
ENSG00000267599.1,0,0,0
ENSG00000267601.1,0,0,0
ENSG00000267603.1,0,0,0
ENSG00000267604.1,0,0,0
ENSG00000267605.7,15,0,3
ENSG00000267606.1,0,0,0
ENSG00000267607.1,0,1,2
ENSG00000267609.2,0,0,0
ENSG00000267610.2,0,0,0
ENSG00000267611.1,0,0,1
ENSG00000267612.1,10,3,4
ENSG00000267614.1,0,0,0
ENSG00000267615.1,0,0,0
ENSG00000267617.2,0,0,0
ENSG00000267618.5,0,0,0
ENSG00000267620.1,0,0,0
ENSG00000267623.3,0,0,0
ENSG00000267624.1,9,0,0
ENSG00000267625.1,0,0,0
ENSG00000267626.1,0,0,0
ENSG00000267627.5,3,0,1
ENSG00000267628.1,0,0,0
ENSG00000267629.3,0,0,0
ENSG00000267630.1,0,0,0
ENSG00000267631.5,0,0,0
ENSG00000267632.1,5,12,7
ENSG00000267633.1,0,0,0
ENSG00000267634.1,0,0,0
ENSG00000267636.1,0,0,0
ENSG00000267637.1,0,4,0
ENSG00000267638.1,1,8,1
ENSG00000267640.6,46,26,119
ENSG00000267641.1,14,0,5
ENSG00000267642.1,0,0,1
ENSG00000267643.1,0,0,0
ENSG00000267644.1,1,1,0
ENSG00000267645.5,0,0,0
ENSG00000267646.1,1,0,0
ENSG00000267647.1,0,1,0
ENSG00000267648.1,7,2,18
ENSG00000267649.1,7,16,5
ENSG00000267650.1,0,1,0
ENSG00000267651.1,2,2,0
ENSG00000267652.1,1,0,1
ENSG00000267653.1,0,0,0
ENSG00000267655.1,10,124,28
ENSG00000267656.1,0,1,0
ENSG00000267658.1,6,3,4
ENSG00000267659.5,2,1,3
ENSG00000267661.1,0,0,0
ENSG00000267662.1,8,0,3
ENSG00000267663.1,0,0,0
ENSG00000267664.1,0,0,0
ENSG00000267665.2,102,0,4
ENSG00000267666.2,32,15,41
ENSG00000267669.1,4,2,1
ENSG00000267670.1,0,0,0
ENSG00000267672.1,1,1,0
ENSG00000267673.6,0,1,0
ENSG00000267674.1,0,1,1
ENSG00000267675.1,1,0,0
ENSG00000267676.1,3,1,3
ENSG00000267677.1,2,6,11
ENSG00000267678.1,0,0,0
ENSG00000267679.1,4,7,4
ENSG00000267680.5,349,483,498
ENSG00000267681.1,9,10,2
ENSG00000267682.1,4,2,2
ENSG00000267683.1,0,0,0
ENSG00000267685.2,0,0,2
ENSG00000267686.2,0,0,0
ENSG00000267687.1,0,0,0
ENSG00000267688.1,0,0,0
ENSG00000267689.1,0,0,0
ENSG00000267690.1,43,4,27
ENSG00000267691.1,0,0,3
ENSG00000267692.1,3,8,6
ENSG00000267693.1,1,0,0
ENSG00000267694.1,0,1,0
ENSG00000267695.1,0,0,0
ENSG00000267696.6,0,0,2
ENSG00000267698.1,3,7,13
ENSG00000267699.2,0,0,0
ENSG00000267703.1,0,0,0
ENSG00000267704.1,0,0,0
ENSG00000267705.1,0,0,0
ENSG00000267706.3,0,0,0
ENSG00000267707.2,0,0,6
ENSG00000267708.1,0,0,2
ENSG00000267709.1,11,2,2
ENSG00000267710.9,7,5,6
ENSG00000267711.1,1,3,17
ENSG00000267712.6,2,0,5
ENSG00000267713.1,0,0,0
ENSG00000267714.2,0,0,0
ENSG00000267716.1,0,0,0
ENSG00000267717.1,0,0,2
ENSG00000267719.1,0,1,3
ENSG00000267722.1,0,0,0
ENSG00000267723.1,0,0,1
ENSG00000267724.1,6,4,1
ENSG00000267725.1,0,0,1
ENSG00000267726.1,0,0,0
ENSG00000267727.1,0,0,0
ENSG00000267729.1,7,13,0
ENSG00000267731.1,6,5,10
ENSG00000267732.2,0,0,0
ENSG00000267733.5,0,0,1
ENSG00000267734.1,0,2,3
ENSG00000267735.1,0,1,1
ENSG00000267736.2,2,1,1
ENSG00000267737.1,6,4,5
ENSG00000267740.5,0,0,0
ENSG00000267741.1,4,0,6
ENSG00000267742.1,1,0,0
ENSG00000267743.5,0,1,0
ENSG00000267744.1,1,0,0
ENSG00000267745.1,16,14,78
ENSG00000267746.1,0,0,0
ENSG00000267748.4,0,0,0
ENSG00000267749.1,0,0,1
ENSG00000267750.6,12,159,38
ENSG00000267751.5,48,2,61
ENSG00000267752.1,0,0,0
ENSG00000267755.1,0,0,0
ENSG00000267756.1,0,0,0
ENSG00000267757.4,0,0,0
ENSG00000267758.1,0,0,0
ENSG00000267760.1,0,0,0
ENSG00000267761.3,0,0,0
ENSG00000267762.1,0,0,0
ENSG00000267764.1,5,1,0
ENSG00000267765.1,1,3,0
ENSG00000267766.1,0,0,0
ENSG00000267767.3,10,2,3
ENSG00000267768.1,0,0,0
ENSG00000267769.1,7,11,13
ENSG00000267770.1,0,0,0
ENSG00000267771.1,0,0,0
ENSG00000267772.1,0,0,0
ENSG00000267773.1,1,0,0
ENSG00000267774.2,0,0,0
ENSG00000267775.1,0,0,0
ENSG00000267777.2,0,0,2
ENSG00000267778.1,2,5,10
ENSG00000267779.7,0,0,0
ENSG00000267780.2,0,1,0
ENSG00000267781.1,3,0,2
ENSG00000267782.1,0,0,0
ENSG00000267783.1,2,12,4
ENSG00000267784.1,0,0,1
ENSG00000267786.1,0,0,0
ENSG00000267787.7,37,73,60
ENSG00000267788.1,0,0,0
ENSG00000267789.1,0,0,0
ENSG00000267790.1,0,0,0
ENSG00000267791.1,0,0,0
ENSG00000267792.1,0,0,0
ENSG00000267793.1,0,0,0
ENSG00000267794.1,0,0,0
ENSG00000267795.6,432,3882,936
ENSG00000267796.8,24,73,57
ENSG00000267797.1,0,0,0
ENSG00000267799.1,0,0,0
ENSG00000267800.1,1,1,1
ENSG00000267801.1,7,20,21
ENSG00000267808.1,0,1,2
ENSG00000267809.1,47,164,97
ENSG00000267811.1,0,6,0
ENSG00000267815.1,0,0,0
ENSG00000267827.5,0,0,0
ENSG00000267828.1,0,0,0
ENSG00000267834.1,5,19,6
ENSG00000267838.2,29,82,14
ENSG00000267852.1,3,1,3
ENSG00000267855.6,44,59,17
ENSG00000267857.2,0,0,0
ENSG00000267858.6,134,107,102
ENSG00000267868.1,47,100,58
ENSG00000267871.6,51,20,21
ENSG00000267872.1,0,0,0
ENSG00000267879.2,0,0,2
ENSG00000267881.2,0,0,0
ENSG00000267882.2,3,4,7
ENSG00000267886.1,4,1,3
ENSG00000267890.1,13,4,9
ENSG00000267892.1,4,36,3
ENSG00000267895.1,0,0,0
ENSG00000267898.1,17,16,30
ENSG00000267904.1,39,6,13
ENSG00000267905.5,2,1,0
ENSG00000267908.2,3,0,3
ENSG00000267909.3,17,70,5
ENSG00000267919.1,0,1,6
ENSG00000267920.1,0,0,0
ENSG00000267922.1,2,0,4
ENSG00000267924.1,24,2,4
ENSG00000267927.1,13,2,1
ENSG00000267934.1,29,55,89
ENSG00000267938.1,4,9,8
ENSG00000267939.1,20,18,43
ENSG00000267940.1,6,23,37
ENSG00000267943.1,16,1,27
ENSG00000267952.1,0,0,0
ENSG00000267959.3,0,0,1
ENSG00000267961.2,0,0,0
ENSG00000267968.1,6,0,0
ENSG00000267978.5,0,0,0
ENSG00000267980.1,3,14,32
ENSG00000267984.1,0,0,0
ENSG00000267986.1,6,1,0
ENSG00000267990.1,3,2,0
ENSG00000267992.1,1,0,1
ENSG00000268001.1,180,127,210
ENSG00000268006.1,19,84,37
ENSG00000268009.6,0,0,0
ENSG00000268015.1,1,1,2
ENSG00000268020.3,0,0,0
ENSG00000268027.5,22,10,11
ENSG00000268030.1,20,5,3
ENSG00000268034.1,7,2,12
ENSG00000268038.3,0,0,0
ENSG00000268041.2,10,51,5
ENSG00000268043.7,316,362,420
ENSG00000268047.1,8,2,1
ENSG00000268049.1,32,54,32
ENSG00000268051.1,0,3,0
ENSG00000268053.1,0,0,0
ENSG00000268055.1,0,0,0
ENSG00000268056.5,0,0,1
ENSG00000268058.1,3,3,0
ENSG00000268061.5,13,34,35
ENSG00000268062.1,14,33,44
ENSG00000268066.5,3,0,1
ENSG00000268067.3,0,0,0
ENSG00000268069.2,0,0,0
ENSG00000268070.1,1,0,1
ENSG00000268074.1,0,0,0
ENSG00000268078.1,3,0,0
ENSG00000268079.1,0,1,0
ENSG00000268080.2,282,0,40
ENSG00000268081.1,1,3,8
ENSG00000268083.5,0,0,0
ENSG00000268087.1,45,16,46
ENSG00000268088.1,1,1,142
ENSG00000268089.3,10,2,682
ENSG00000268093.1,7,3,6
ENSG00000268095.1,8,1,1
ENSG00000268100.1,1,0,0
ENSG00000268101.2,0,2,0
ENSG00000268104.3,45,0,6
ENSG00000268105.1,1,0,0
ENSG00000268107.6,0,0,0
ENSG00000268108.1,0,0,0
ENSG00000268112.1,0,0,0
ENSG00000268116.1,0,0,0
ENSG00000268117.1,8,0,9
ENSG00000268119.6,96,5,188
ENSG00000268120.1,0,0,0
ENSG00000268129.1,0,0,0
ENSG00000268133.1,0,0,0
ENSG00000268140.1,2,1,4
ENSG00000268144.1,0,0,1
ENSG00000268148.1,0,0,0
ENSG00000268149.1,0,0,0
ENSG00000268153.5,0,0,0
ENSG00000268154.2,0,1,1
ENSG00000268157.1,6,2,0
ENSG00000268163.1,2,0,3
ENSG00000268170.2,20,1,0
ENSG00000268173.3,0,1,0
ENSG00000268174.1,0,0,0
ENSG00000268181.3,1,2,1
ENSG00000268182.6,8,7,17
ENSG00000268184.1,0,0,0
ENSG00000268186.1,0,1,0
ENSG00000268189.2,22,56,51
ENSG00000268191.1,0,0,0
ENSG00000268193.5,0,0,0
ENSG00000268199.2,0,0,0
ENSG00000268201.1,5,2,12
ENSG00000268203.1,0,0,0
ENSG00000268204.1,83,51,32
ENSG00000268205.1,1521,1523,3378
ENSG00000268209.1,1,0,0
ENSG00000268218.1,14,23,15
ENSG00000268221.6,0,0,0
ENSG00000268222.1,32,4,17
ENSG00000268223.6,0,0,1
ENSG00000268230.5,11,38,13
ENSG00000268231.1,0,0,0
ENSG00000268234.1,5,0,1
ENSG00000268235.7,0,0,0
ENSG00000268238.1,0,0,0
ENSG00000268240.1,0,1,0
ENSG00000268243.1,0,0,0
ENSG00000268257.2,0,0,0
ENSG00000268266.1,3,0,2
ENSG00000268267.1,0,0,0
ENSG00000268272.1,0,0,0
ENSG00000268278.1,0,0,0
ENSG00000268279.4,11,14,5
ENSG00000268282.1,0,0,1
ENSG00000268287.1,0,0,0
ENSG00000268288.1,0,5,12
ENSG00000268289.1,0,0,0
ENSG00000268292.1,0,0,0
ENSG00000268293.1,0,0,0
ENSG00000268295.1,4,1,0
ENSG00000268296.2,0,0,0
ENSG00000268297.1,2,0,0
ENSG00000268307.1,0,787,136
ENSG00000268309.1,0,0,0
ENSG00000268316.1,1,3,6
ENSG00000268318.5,0,0,0
ENSG00000268320.4,0,0,0
ENSG00000268322.1,0,0,0
ENSG00000268324.2,0,1,3
ENSG00000268326.1,0,0,0
ENSG00000268333.1,1,2,0
ENSG00000268335.1,0,0,0
ENSG00000268336.1,1,0,0
ENSG00000268350.7,4,13,9
ENSG00000268355.1,55,13,59
ENSG00000268357.1,0,0,0
ENSG00000268361.1,0,0,0
ENSG00000268362.6,186,116,179
ENSG00000268364.2,17,12,26
ENSG00000268366.1,10,21,2
ENSG00000268375.1,0,0,0
ENSG00000268379.1,1,1,4
ENSG00000268388.6,18,0,1
ENSG00000268390.1,0,0,0
ENSG00000268391.1,0,0,0
ENSG00000268392.1,3,0,0
ENSG00000268400.5,0,1,0
ENSG00000268401.2,6,11,16
ENSG00000268403.2,14,20,32
ENSG00000268407.1,0,0,0
ENSG00000268412.2,14,12,17
ENSG00000268416.1,762,0,442
ENSG00000268433.1,0,0,0
ENSG00000268434.5,0,0,0
ENSG00000268438.1,1,0,7
ENSG00000268442.1,12,6,19
ENSG00000268447.6,0,0,0
ENSG00000268455.1,0,0,1
ENSG00000268458.1,4,3,2
ENSG00000268460.2,67,26,77
ENSG00000268461.2,2,0,0
ENSG00000268465.1,0,0,0
ENSG00000268469.1,0,0,0
ENSG00000268471.6,69,108,90
ENSG00000268472.2,2,1,0
ENSG00000268473.1,0,0,0
ENSG00000268475.1,0,0,0
ENSG00000268480.3,0,0,0
ENSG00000268483.1,0,1,0
ENSG00000268486.5,0,0,0
ENSG00000268496.1,2,3,0
ENSG00000268499.1,1,3,5
ENSG00000268500.5,0,0,0
ENSG00000268505.1,1,0,0
ENSG00000268509.2,0,0,0
ENSG00000268510.1,2,1,4
ENSG00000268516.2,115,150,165
ENSG00000268518.1,0,0,0
ENSG00000268520.1,2,2,0
ENSG00000268521.1,25,8,12
ENSG00000268529.1,0,54,50
ENSG00000268530.6,1,0,0
ENSG00000268531.3,5,0,2
ENSG00000268532.1,0,0,0
ENSG00000268533.1,1,2,8
ENSG00000268535.1,8,2,8
ENSG00000268536.1,33,2,8
ENSG00000268541.1,0,0,0
ENSG00000268543.1,9,6,4
ENSG00000268545.1,3,1,8
ENSG00000268555.2,6,0,8
ENSG00000268560.1,4,0,61
ENSG00000268564.1,3,2,10
ENSG00000268565.1,0,0,0
ENSG00000268566.6,0,0,0
ENSG00000268573.1,70,46,29
ENSG00000268575.1,28,14,39
ENSG00000268580.1,0,0,0
ENSG00000268581.1,1,0,0
ENSG00000268582.1,0,0,0
ENSG00000268583.2,5,9,24
ENSG00000268584.1,25,23,31
ENSG00000268589.1,0,0,0
ENSG00000268592.3,0,0,0
